"lemmatized_summary","gene","value","change","summary","Official.Name","summarySource"
"microRNAs ( miRNAs ) be short ( 20 - 24 not ) non - code RNAs that be involve in post - transcriptional regulation of gene expression in multicellular organism by affect both the stability and translation of mRNAs. miRNAs be transcribe by RNA polymerase II as part of cap and polyadenylated primary transcript ( pri - miRNAs ) that can be either protein - code or non - code. The primary transcript be cleave by the Drosha ribonuclease III enzyme to produce a approximately 70 - not stem - loop precursor miRNA ( pre - miRNA ), which be far cleave by the cytoplasmic Dicer ribonuclease to generate the mature miRNA and antisense miRNA star ( miRNA * ) product. The mature miRNA be incorporate into a RNA - induce silence complex ( RISC ), which recognize target mRNAs through imperfect base pair with the miRNA and much commonly result in translational inhibition or destabilization of the target mRNA. The RefSeq represent the predict microRNA stem - loop.","MIR548AD","Fold Change EGCG",1.088273576,"microRNAs (miRNAs) are short (20-24 nt) non-coding RNAs that are involved in post-transcriptional regulation of gene expression in multicellular organisms by affecting both the stability and translation of mRNAs. miRNAs are transcribed by RNA polymerase II as part of capped and polyadenylated primary transcripts (pri-miRNAs) that can be either protein-coding or non-coding. The primary transcript is cleaved by the Drosha ribonuclease III enzyme to produce an approximately 70-nt stem-loop precursor miRNA (pre-miRNA), which is further cleaved by the cytoplasmic Dicer ribonuclease to generate the mature miRNA and antisense miRNA star (miRNA*) products. The mature miRNA is incorporated into a RNA-induced silencing complex (RISC), which recognizes target mRNAs through imperfect base pairing with the miRNA and most commonly results in translational inhibition or destabilization of the target mRNA. The RefSeq represents the predicted microRNA stem-loop.","microRNA 548ad","ncbi gene"
"MTCO1P11 ( MT - CO1 Pseudogene 11 ) be a Pseudogene.","MTCO1P11","Fold Change EGCG+Quercentin",1.09497767,"MTCO1P11 (MT-CO1 Pseudogene 11) is a Pseudogene. ","MT-CO1 pseudogene 11","genecards.org"
"MTCO2P29 ( MT - CO2 Pseudogene 29 ) be a Pseudogene.","MTCO2P29","Fold Change EGCG",1.123978659,"MTCO2P29 (MT-CO2 Pseudogene 29) is a Pseudogene. ","MT-CO2 pseudogene 29","genecards.org"
"Olfactory receptor interact with odorant molecule in the nose, to initiate a neuronal response that trigger the perception of a smell. The olfactory receptor protein be member of a large family of G - protein - couple receptor ( GPCR ) arise from single code - exon gene. Olfactory receptor share a 7 - transmembrane domain structure with many neurotransmitter and hormone receptor and be responsible for the recognition and G protein - mediate transduction of odorant signal. The olfactory receptor gene family be the large in the genome. The nomenclature assign to the olfactory receptor gene and protein for this organism be independent of other organism.","OR5M10","Fold Change EGCG+Quercentin",1.104773253,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. ","olfactory receptor family 5 subfamily M member 10","ncbi gene"
"ribosome, the organelle that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together this subunit be compose of 4 RNA species and approximately 80 structurally distinct protein. This gene encode a ribosomal protein that be a component of the 40S subunit. The protein belong to the S7E family of ribosomal protein. It be locate in the cytoplasm. As be typical for gene encode ribosomal protein, there be multiple process pseudogene of this gene disperse through the genome.","RPS7","Fold Change EGCG+Quercentin",1.091646914,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 40S subunit. The protein belongs to the S7E family of ribosomal proteins. It is located in the cytoplasm. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. ","ribosomal protein S7","ncbi gene"
"RN7SKP198 ( RN7SK Pseudogene 198 ) be a Pseudogene.","RN7SKP198","Fold Change EGCG",1.092841824,"RN7SKP198 (RN7SK Pseudogene 198) is a Pseudogene. ","RN7SK pseudogene 198","genecards.org"
"RN7SL452P ( RNA, 7SL, Cytoplasmic 452, Pseudogene ) be a Pseudogene.","RN7SL452P","Fold Change EGCG",1.086796183,"RN7SL452P (RNA, 7SL, Cytoplasmic 452, Pseudogene) is a Pseudogene. ","RNA, 7SL, cytoplasmic 452, pseudogene","genecards.org"
"RNA5SP30 ( RNA, 5S Ribosomal Pseudogene 30 ) be a Pseudogene.","RNA5SP30","Fold Change EGCG+Quercentin",1.116538609,"RNA5SP30 (RNA, 5S Ribosomal Pseudogene 30) is a Pseudogene. ","RNA, 5S ribosomal pseudogene 30","genecards.org"
"RNA5SP449 ( RNA, 5S Ribosomal Pseudogene 449 ) be a Pseudogene.","RNA5SP449","Fold Change EGCG",1.153036999,"RNA5SP449 (RNA, 5S Ribosomal Pseudogene 449) is a Pseudogene. ","RNA, 5S ribosomal pseudogene 449","genecards.org"
"RNA5SP63 ( RNA, 5S Ribosomal Pseudogene 63 ) be a Pseudogene.","RNA5SP63","Fold Change EGCG",1.089967912,"RNA5SP63 (RNA, 5S Ribosomal Pseudogene 63) is a Pseudogene. ","RNA, 5S ribosomal pseudogene 63","genecards.org"
"RNU4 - 51P ( RNA, U4 Small Nuclear 51, Pseudogene ) be a Pseudogene.","RNU4-51P","Fold Change EGCG+Quercentin",1.173941987,"RNU4-51P (RNA, U4 Small Nuclear 51, Pseudogene) is a Pseudogene. ","RNA, U4 small nuclear 51, pseudogene","genecards.org"
"RNU6 - 1024P ( RNA, U6 Small Nuclear 1024, Pseudogene ) be a Pseudogene.","RNU6-1024P","Fold Change EGCG",1.086352981,"RNU6-1024P (RNA, U6 Small Nuclear 1024, Pseudogene) is a Pseudogene. ","RNA, U6 small nuclear 1024, pseudogene","genecards.org"
"RNU6 - 1244P ( RNA, U6 Small Nuclear 1244, Pseudogene ) be a Pseudogene.","RNU6-1244P","Fold Change EGCG+Quercentin",1.162781421,"RNU6-1244P (RNA, U6 Small Nuclear 1244, Pseudogene) is a Pseudogene. ","RNA, U6 small nuclear 1244, pseudogene","genecards.org"
"RNU6 - 263P ( RNA, U6 Small Nuclear 263, Pseudogene ) be a Pseudogene.","RNU6-263P","Fold Change EGCG",1.082968456,"RNU6-263P (RNA, U6 Small Nuclear 263, Pseudogene) is a Pseudogene. ","RNA, U6 small nuclear 263, pseudogene","genecards.org"
"RNU6 - 403P ( RNA, U6 Small Nuclear 403, Pseudogene ) be a Pseudogene.","RNU6-403P","Fold Change EGCG+Quercentin",1.13767904,"RNU6-403P (RNA, U6 Small Nuclear 403, Pseudogene) is a Pseudogene. ","RNA, U6 small nuclear 403, pseudogene","genecards.org"
"RNU6 - 853P ( RNA, U6 Small Nuclear 853, Pseudogene ) be a Pseudogene.","RNU6-853P","Fold Change EGCG+Quercentin",1.126844065,"RNU6-853P (RNA, U6 Small Nuclear 853, Pseudogene) is a Pseudogene. ","RNA, U6 small nuclear 853, pseudogene","genecards.org"
"RNU6 - 893P ( RNA, U6 Small Nuclear 893, Pseudogene ) be a Pseudogene.","RNU6-893P","Fold Change EGCG",1.084522988,"RNU6-893P (RNA, U6 Small Nuclear 893, Pseudogene) is a Pseudogene. ","RNA, U6 small nuclear 893, pseudogene","genecards.org"
"RNU6 - 943P ( RNA, U6 Small Nuclear 943, Pseudogene ) be a Pseudogene.","RNU6-943P","Fold Change EGCG+Quercentin",1.125664513,"RNU6-943P (RNA, U6 Small Nuclear 943, Pseudogene) is a Pseudogene.","RNA, U6 small nuclear 943, pseudogene","genecards.org"
"RNU6 - 98P ( RNA, U6 Small Nuclear 98, Pseudogene ) be a Pseudogene.","RNU6-98P","Fold Change EGCG+Quercentin",1.089661746,"RNU6-98P (RNA, U6 Small Nuclear 98, Pseudogene) is a Pseudogene. ","RNA, U6 small nuclear 98, pseudogene","genecards.org"
"RNY1P5 ( RNY1 Pseudogene 5 ) be a Pseudogene.","RNY1P5","Fold Change EGCG+Quercentin",1.100282662,"RNY1P5 (RNY1 Pseudogene 5) is a Pseudogene. ","RNY1 pseudogene 5","genecards.org"
"RNY3P16 ( RNY3 Pseudogene 16 ) be a Pseudogene.","RNY3P16","Fold Change EGCG",1.152998074,"RNY3P16 (RNY3 Pseudogene 16) is a Pseudogene. ","RNY3 pseudogene 16","genecards.org"
"The human placenta be a multihormonal endocrine organ that produce hormone, enzyme, and other molecule that support fetal survival and development. Pregnancy - specific beta - 1 - glycoprotein ( PSBG, PSG ) be a major product of the syncytiotrophoblast, reach concentration of 100 to 290 mg / l at term in the serum of pregnant woman ( Horne et al., 1976 [ 971765 ] ). PSG be a member of the immunoglobulin ( Ig ) superfamily ( Watanabe and Chou, 1988 [ 3257488 ]; Streydio et al., 1988 [ 3260773 ] )","PSG1","Fold Change EGCG",1.098186428,"The human placenta is a multihormonal endocrine organ that produces hormones, enzymes, and other molecules that support fetal survival and development. Pregnancy-specific beta-1-glycoprotein (PSBG, PSG) is a major product of the syncytiotrophoblast, reaching concentrations of 100 to 290 mg/l at term in the serum of pregnant women (Horne et al., 1976 [ 971765]). PSG is a member of the immunoglobulin (Ig) superfamily (Watanabe and Chou, 1988 [ 3257488]; Streydio et al., 1988 [ 3260773])","pregnancy specific beta-1-glycoprotein 1","ncbi gene"
"The protein encode by this gene be a receptor for neuropeptide Y and peptide YY. The encode protein appear to be involve in regulate food intake, with defect in this gene be associate with eat disorder. Also, the encode protein be involve in a pathway that protect neuroblastoma cell from chemotherapy - induce cell death, provide a possible therapeutic target against neuroblastoma. Three transcript variant encode the same protein have be find for this gene.","NPY5R","Fold Change EGCG",1.088849457,"The protein encoded by this gene is a receptor for neuropeptide Y and peptide YY. The encoded protein appears to be involved in regulating food intake, with defects in this gene being associated with eating disorders. Also, the encoded protein is involved in a pathway that protects neuroblastoma cells from chemotherapy-induced cell death, providing a possible therapeutic target against neuroblastoma. Three transcript variants encoding the same protein have been found for this gene.","neuropeptide Y receptor Y5","ncbi gene"
"This gene encode a G protein - couple receptor and be locate in a cluster of G protein - couple receptor gene on chromosome 3. The encode protein have be show to be overexpress in lung squamous cell carcinoma ( PMID: 18057535 ) and regulate by p53 ( PMID: 19602589 ).","GPR87","Fold Change EGCG",1.086751807,"This gene encodes a G protein-coupled receptor and is located in a cluster of G protein-couple receptor genes on chromosome 3. The encoded protein has been shown to be overexpressed in lung squamous cell carcinoma (PMID:18057535) and regulated by p53 (PMID:19602589).","G protein-coupled receptor 87","ncbi gene"
"This gene be the cellular homolog of the fox sequence in the Finkel - Biskis - Reilly murine sarcoma virus ( FBR - MuSV ). It encode a fusion protein consist of the ubiquitin - like protein fubi at the N terminus and ribosomal protein S30 at the C terminus. It have be propose that the fusion protein be post - translationally process to generate free fubi and free ribosomal protein S30. Fubi be a member of the ubiquitin family, and ribosomal protein S30 belong to the S30E family of ribosomal protein. Whereas the function of fubi be currently unknown, ribosomal protein S30 be a component of the 40S subunit of the cytoplasmic ribosome and display antimicrobial activity. pseudogene derive from this gene be present in the genome. Similar to ribosomal protein S30, ribosomal protein S27a and L40 be synthesize as fusion protein with ubiquitin.","FAU","Fold Change EGCG",1.195198318,"This gene is the cellular homolog of the fox sequence in the Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV). It encodes a fusion protein consisting of the ubiquitin-like protein fubi at the N terminus and ribosomal protein S30 at the C terminus. It has been proposed that the fusion protein is post-translationally processed to generate free fubi and free ribosomal protein S30. Fubi is a member of the ubiquitin family, and ribosomal protein S30 belongs to the S30E family of ribosomal proteins. Whereas the function of fubi is currently unknown, ribosomal protein S30 is a component of the 40S subunit of the cytoplasmic ribosome and displays antimicrobial activity. Pseudogenes derived from this gene are present in the genome. Similar to ribosomal protein S30, ribosomal proteins S27a and L40 are synthesized as fusion proteins with ubiquitin.","FAU ubiquitin like and ribosomal protein S30 fusion","ncbi gene"
"TMEM176A ( Transmembrane Protein 176A ) be a Protein code gene. a important paralog of this gene be TMEM176B.","TMEM176A","Fold Change EGCG",1.121293865,"TMEM176A (Transmembrane Protein 176A) is a Protein Coding gene. An important paralog of this gene is TMEM176B.","transmembrane protein 176A","genecards.org"
"Zeta - globin be a alpha - like hemoglobin. The zeta - globin polypeptide be synthesize in the yolk sac of the early embryo, while alpha - globin be produce throughout fetal and adult life. The zeta - globin gene be a member of the human alpha - globin gene cluster that include five functional gene and two pseudogene. The order of gene be: 5' - zeta - pseudozeta - mu - pseudoalpha - 1 - alpha - 2 - alpha - 1 - theta1 - 3'.","HBZ","Fold Change EGCG",1.197956465,"Zeta-globin is an alpha-like hemoglobin. The zeta-globin polypeptide is synthesized in the yolk sac of the early embryo, while alpha-globin is produced throughout fetal and adult life. The zeta-globin gene is a member of the human alpha-globin gene cluster that includes five functional genes and two pseudogenes. The order of genes is: 5' - zeta - pseudozeta - mu - pseudoalpha-1 - alpha-2 -alpha-1 - theta1 - 3'.","hemoglobin subunit zeta","ncbi gene"
"ZNF847P ( Zinc Finger Protein 847, Pseudogene ) be a Pseudogene.","ZNF847P","Fold Change EGCG+Quercentin",1.128369217,"ZNF847P (Zinc Finger Protein 847, Pseudogene) is a Pseudogene. ","zinc finger protein 847, pseudogene","genecards.org"
